Number,Type,Name,Route
1650/1,IC,ŚNIEŻKA,WarszawaWsch._WarszawaCentr._OpocznoPłd._CzęstochowaStr._OpoleGł._WrocławGł._JaworzynaŚl._WałbrzychMiasto_JeleniaGóra_SzklarskaPorębaGórna
17100/1,IC,DIONIZOS,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Września_PoznańGł._Zbąszynek_ZielonaGóraGł.
17100/1,IC,DIONIZOS,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Września_PoznańGł._Zbąszynek_ZielonaGóraGł.
17102/3,IC,ZIELONOGÓRZANIN,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_PiotrkówKuj._InowrocławRąbinek_Gniezno_PoznańGł._Zbąszynek_ZielonaGóraGł.
17104/5,IC,WARTA,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Konin_Września_PoznańGł.
1800/1,EIC,CHROBRY,WarszawaWsch._WarszawaCentr._Kutno_PoznańGł._Krzyż_Stargard_SzczecinGł.
18100/1,IC,GAŁCZYŃSKI,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_PoznańGł._Krzyż_SzczecinDąbie_SzczecinGł.
18100/1,IC,GAŁCZYŃSKI,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_PoznańGł._Krzyż_SzczecinDąbie_SzczecinGł._Goleniów_WysokaKamieńska_Świnoujście
18102/3,IC,PODLASIAK,Suwałki_Sokółka_Białystok_Małkinia_WarszawaCentr._Sochaczew_Kutno_Września_PoznańGł._Krzyż_Stargard_SzczecinGł._Goleniów_Świnoujście
18104/5,IC,RYBAK,Białystok_Ełk_Szczytno_OlsztynGł._Elbląg_Tczew_GdyniaGł._Słupsk_SzczecinGł.
18106/7,IC,MEWA,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Konin_Września_PoznańGł._Krzyż_Stargard_SzczecinGł._Goleniów_Świnoujście
18108/9,IC,WŁÓKNIARZ,ŁódźFabr._ŁódźWidzew_Pabianice_ZduńskaWola_Kalisz_Jarocin_PoznańGł._Krzyż_Stargard_SzczecinGł.
18108/9,TLK,WŁÓKNIARZ,ŁódźFabryczna_Kalisz_PoznańGł._Krzyż_SzczecinGł.
18108/9,TLK,WŁÓKNIARZ,ŁódźFabryczna_Kalisz_PoznańGł.
18110/1,IC,NOTEĆ,WarszawaWsch._WarszawaGdańska_Sochaczew_Kutno_Włocławek_ToruńGł._BydgoszczGł._NakłonadNotecią_PiłaGł.
18114/5,IC,POBRZEŻE,ŁódźFabr._Ł.Widzew_Skierniewice_WarszawaCentr._Ciechanów_IławaGł._Tczew_GdyniaGł._Lębork_Słupsk_Koszalin_Kołobrzeg
18150/1,IC,SŁUPIA,ŁódźKaliska_ŁódźWidzew_Skierniewice_WarszawaCentr._Ciechanów_IławaGł._Tczew_GdyniaGł._Lębork_Słupsk_Koszalin_Kołobrzeg
18152/3,IC,PARSĘTA,ŁódźFabr._ŁódźWidzew_Skierniewice_WarszawaCentr._Ciechanów_IławaGł._Tczew_GdyniaGł._Lębork_Słupsk_Koszalin_UstronieMorskie_Kołobrzeg
18154/5,IC,LAZUR,ŁódźFabr._ŁódźWidzew_Skierniewice_WarszawaCentr._Ciechanów_IławaGł._Tczew_GdyniaGł._Lębork_Słupsk_Ustka
18154/5,IC,LAZUR,WarszawaZach._WarszawaCentr._Ciechanów_IławaGł._Tczew_GdyniaGł._Lębork_Słupsk_Ustka
18170/1,TLK,UZNAM,WarszawaWsch._WarszawaCentr._Kutno_PoznańGł._Zbąszynek_Kostrzyn_SzczecinDąbie_SzczecinGł._Goleniów_Świnoujście
18170/1,TLK,UZNAM,WarszawaWsch._WarszawaGdańska_Kutno_PoznańGł._Zbąszynek_Kostrzyn_SzczecinDąbie_SzczecinGł._Goleniów_Świnoujście
